task id,run #,model 2
2073,7,0.7046979865771812
168784,5,0.8256410256410256
190146,0,0.8823529411764706
190146,2,0.8941176470588236
359954,3,0.6621621621621622
359959,3,0.5945945945945946
2073,5,0.6912751677852349
359954,8,0.6351351351351351
2073,9,0.697986577181208
190146,6,0.8823529411764706
168784,4,0.8205128205128205
168784,0,0.8461538461538461
2073,6,0.7248322147651006
359954,5,0.6756756756756757
359959,5,0.6081081081081081
168784,7,0.8512820512820513
168784,1,0.841025641025641
2073,0,0.7114093959731543
359954,9,0.6756756756756757
190146,7,0.8588235294117647
168784,6,0.8205128205128205
168784,9,0.8256410256410256
190146,4,0.8470588235294118
190146,5,0.8588235294117647
190146,1,0.8705882352941177
359954,4,0.6486486486486487
359954,6,0.6621621621621622
359959,6,0.581081081081081
359959,0,0.5743243243243243
190146,9,0.8823529411764706
359954,2,0.6756756756756757
359959,9,0.5878378378378378
2073,2,0.7114093959731543
359954,0,0.6891891891891891
2073,4,0.7114093959731543
359954,7,0.6756756756756757
359959,7,0.5675675675675675
2073,1,0.7114093959731543
168784,8,0.841025641025641
359959,8,0.5540540540540541
168784,2,0.8512820512820513
359959,4,0.581081081081081
359954,1,0.6486486486486487
359959,2,0.5878378378378378
2073,8,0.697986577181208
2073,3,0.6912751677852349
359959,1,0.5878378378378378
190146,8,0.8705882352941177
168784,3,0.8307692307692308
190146,3,0.8470588235294118
